Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/15/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greece,GRC,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,,,,,,,,,,,,,,,,,24.84186314,23.04326689,26.07033639,28.68263473,30.61330561,28.18181818,29.70926711,38.83357041,37.78939507,36.30697312,36.08312343,42.57748777,46.54423381,54.1963911,55.23487872,60.23227649,56.59067238,52.14031645,52.00175016,52.40344249,55.44158929,56.90589766,,13.63652925,9.339704411,10.00605689,9.470980618,9.685717191,10.43903452,8.548744236,8.364056963,8.64050111,8.431276983,9.884396029,10.82002919,12.11406952,11.25897037,11.20773916,12.24024145,10.37391494,11.49998231,11.31934812,10.29876035,9.965962151,17.34539508
Greece,GRC,Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,,,10.90239569,9.381319811,11.0626857,13.28848395,14.08130993,14.09267647,19.15415978,28.96935002,34.56365155,30.52418262,35.67533671,36.93948826,44.58109346,44.02272317,48.95012722,49.75752061,45.58869986,45.6469199,47.34586654,52.7094299,49.71906178,48.86602081,48.09501072,49.15997446,52.65817045,53.51834996,54.60612184,52.24870168,52.96324953,48.98763419,49.78406487,50.74237803,47.41776808,49.76351975,48.30709837,51.68221454,53.75681802,50.82819705,49.44418159,51.10506102,54.83473551,57.27614389,58.55064872,55.31344676,50.80627032,52.34940051,46.23919963,46.02113973,40.45005994,37.34872314,31.91702736,30.94070024,32.52968978,36.38803327,37.11710389,35.54522663,34.31412392,37.50450942,43.17898911
Greece,GRC,Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,698300000,710500000,696400000,798300000,882300000,1133900000,1214100000,1185600000,1392390000,1594130000,1958210000,2098100000,2317950000,3466610000,4406620000,5317280000,6040790000,6852820000,7818100000,9617210000,10579920000,8809900000,10026460000,9501030000,9434740000,10134570000,11317020000,13172360000,12292883874,15994814033,19763871267,21564033631,22818015086,20200348000,20639989054,25948800255,28744800000,27046351232,28742908970,28016818880,33397263681,32971131409,36447201450,48096273905,56125542414,57728832046,67296595629,84852635740,96616846400,74131174530,65906749491,66704762258,61685902710,60859550748,61982641411,46786309985,46809185672,53495208080,63877464898,62510354173,
Greece,GRC,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,7.295742862,8.744072991,6.958027353,8.421044246,7.380215421,7.935907913,7.213824597,7.440015937,6.875938591,7.313115498,9.854776836,12.29373753,22.21967838,22.13790477,20.38941704,15.19347004,18.67078382,21.21908905,23.39324879,22.01973122,28.67556169,27.43323012,27.32745076,29.52714407,17.43030815,13.83513835,5.033527879,6.3679101,7.675799493,9.620007719,9.763781711,10.6042953,9.778596411,7.236170026,8.743897385,7.798516308,7.325999311,5.527788834,13.42567429,15.20176066,13.88272811,13.73535438,12.67511095,17.88686092,19.14854841,15.1232852,21.60241695,17.17452846,24.51632606,30.9071531,37.59743394,37.31471654,34.34475457,26.65983757,22.65308704,25.00571303,28.97398548,26.87757743,19.90621854
Greece,GRC,"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,3.49,6.01,4.71,3.88,3.54,4.21,5.73,4.22,3.47,3.9,4.31,3.3,4.26,2.57,2.54,2.64,2.68,2.75,2.53,2.37,2.44,2.78,2.3,2.28,2.21,2.76,2.73,2.48,2.48,2.46,2.55,1.71
Greece,GRC,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323000000,1210000000,1327000000,1756000000,3991000000,4558000000,4178000000,2439000000,2433000000,2874000000,3038000000,2998000000,3423000000,3930000000,3383000000,2853000000,3161000000,2364000000,2435000000,2755000000,2259000000,2220000000,2156000000,2582000000,3070000000,898000000
Greece,GRC,Completeness of birth registration (%),SP.REG.BRTH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,,,100,,,
Greece,GRC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,,,1.068,,,,,1.069,,,,,1.069,,,,,1.071,,,,,1.076,,,,,1.067,,,1.067,,1.067,,,,,1.062,,,,,1.066,,,,,1.068,1.067,1.066,1.064,1.063,1.062,1.063,1.063,1.064,1.064,1.065,1.065,1.065,
Greece,GRC,"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,3.812948259,3.881770046,3.969576099,4.073066501,4.185073808,4.299893763,4.481635378,4.663193228,4.839437488,5.006127357,5.158239497,5.181786137,5.204649856,5.217827919,5.205077715,5.157237576,5.056081975,4.925891896,4.788055885,4.675040525,4.60624493,4.554620414,4.527458069,4.520625065,4.539929274,4.598466461,4.809584587,5.046574296,5.278998564,5.486052937,5.659431762,5.812785181,5.971277904,6.119053656,6.236889126,6.311422039,6.315330003,6.295816313,6.237350676,6.120684587,5.941940892,5.671492925,5.339193559,5.011027906,4.783546671,4.708556214,4.792991117,5.021017731,5.325342175,5.595264708,5.76298946,5.862934633,5.87858566,5.849786255,5.845798241,5.908624125,6.024542713,6.19854753,6.401330315,6.583957943,6.716253111
Greece,GRC,"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,8.942689492,8.447754544,7.873785596,7.302953608,6.858138987,6.617352548,6.499668065,6.595319124,6.814402705,7.011846833,7.102025968,7.180059583,7.127688798,7.003013307,6.902717647,6.889999558,6.972970319,7.102724749,7.239544709,7.324579431,7.330744388,7.323948312,7.25350124,7.149003933,7.061545557,7.025988728,7.098776436,7.231815198,7.396605664,7.541763081,7.634362993,7.680602047,7.660127258,7.597539031,7.532974682,7.488716325,7.446349229,7.423717508,7.405652792,7.368911389,7.30012444,7.238244898,7.167260652,7.076610863,6.952165239,6.785850568,6.554510816,6.293496247,6.027284776,5.792329122,5.6048226,5.355424189,5.147783404,4.983105205,4.858528753,4.772704616,4.748019646,4.764159534,4.806154033,4.849883704,4.879494576
